date,headline,source
2023-02-01,Fed raises rates by 25 basis points and signals more hikes ahead,sample
2023-02-01,Powell says disinflation has begun but job is not done,sample
2023-02-14,US CPI comes in hotter than expected keeping inflation fears alive,sample
2023-02-14,Sticky inflation print revives bets on more Fed tightening,sample
2023-03-08,OPEC+ signals it will hold output steady despite demand worries,sample
2023-03-22,Fed hikes rates again but hints pause may be near amid banking stress,sample
2023-03-22,Powell strikes cautious tone as banking turmoil clouds outlook,sample
2023-04-02,OPEC+ shocks market with surprise output cut of over one million barrels,sample
2023-04-12,Cooler US inflation data lifts hopes the Fed is nearly done,sample
2023-05-03,Federal Reserve delivers another quarter point hike as expected,sample
2023-05-03,Powell leaves door open to a pause after latest rate increase,sample
2023-05-10,US consumer prices ease slightly offering relief on inflation,sample
2023-06-04,OPEC+ agrees to extend production cuts deep into next year,sample
2023-06-14,Fed holds rates steady but projects two more hikes this year,sample
2023-06-14,Hawkish Fed pause disappoints investors hoping for dovish signal,sample
2023-07-12,Inflation cools to lowest level in two years boosting risk appetite,sample
2023-07-26,Fed resumes hikes lifting rates to highest in over two decades,sample
2023-08-10,US inflation ticks higher as energy costs rebound,sample
2023-09-05,Saudi Arabia extends voluntary oil output cut sending crude higher,sample
2023-09-13,Core inflation eases even as headline CPI rises on fuel prices,sample
2023-09-20,Fed holds rates but signals higher for longer stance,sample
2023-09-20,Powell warns rates may stay elevated well into next year,sample
2023-10-05,Oil prices tumble on demand fears despite OPEC+ supply curbs,sample
2023-10-12,Hot inflation reading rattles bond market and lifts yields,sample
2023-10-19,Treasury yields surge toward five percent on hawkish Fed bets,sample
2023-11-01,Fed keeps rates unchanged as Powell notes tighter financial conditions,sample
2023-11-01,Dovish tilt from Fed sparks relief rally in bonds,sample
2023-11-14,Softer than expected CPI fuels bets Fed is done hiking,sample
2023-11-14,Cooling inflation sends bond yields tumbling and gold higher,sample
2023-11-30,OPEC+ agrees to additional voluntary cuts but market stays skeptical,sample
2023-12-13,Fed holds rates and pencils in three cuts for next year,sample
2023-12-13,Powell signals pivot as Fed projects rate cuts ahead,sample
2023-12-13,Gold jumps to record as dovish Fed weakens the dollar,sample
2024-01-11,US inflation rises more than forecast complicating cut timeline,sample
2024-01-31,Fed holds steady and pushes back on early rate cut hopes,sample
2024-01-31,Powell says March cut unlikely dashing dovish expectations,sample
2024-02-13,Hotter inflation print sends bond yields soaring and stocks lower,sample
2024-03-01,OPEC+ extends voluntary output cuts through the second quarter,sample
2024-03-12,Sticky core inflation keeps Fed rate cut bets on hold,sample
2024-03-20,Fed holds rates and maintains outlook for three cuts this year,sample
2024-03-20,Powell downplays recent inflation upside as bumps in the road,sample
2024-03-20,Gold climbs to fresh record after reassuring Fed meeting,sample
2024-04-05,Oil rallies to five month high on tight supply and geopolitical risk,sample
2024-04-10,Inflation surprises to the upside again pushing back cut expectations,sample
2024-04-10,Yields spike as strong CPI slashes odds of a June rate cut,sample
2024-05-01,Fed leaves rates unchanged and flags lack of progress on inflation,sample
2024-05-01,Powell rules out further hikes calming nervous markets,sample
2024-05-15,Cooler inflation data revives hopes for rate cuts later this year,sample
2024-05-15,Softer CPI lifts gold and pulls Treasury yields lower,sample
2024-06-02,OPEC+ agrees to gradually unwind some output cuts from autumn,sample
2024-06-03,Crude slides as OPEC+ plan to raise output spooks oil bulls,sample
2024-06-12,Fed holds rates and now projects just one cut this year,sample
2024-06-12,Encouraging inflation report offsets hawkish Fed dot plot,sample
2024-06-12,Gold steady as cooler CPI battles hawkish Fed projections,sample
2023-01-12,US inflation slows for a sixth straight month easing price pressures,sample
2023-01-18,Gold shines as dollar weakens on softer inflation outlook,sample
2023-08-01,Oil steadies near multi month high on tightening global supply,sample
2023-12-06,Crude slumps as record US output overshadows OPEC+ cuts,sample
2024-02-05,Treasury yields climb as strong jobs data trims rate cut bets,sample
